ClusterVersion,Timestamp,CurrentJob,CurrentStep,NodeName,CPU(m),Memory(Mi)
v1.30.9-eks-8cce635,2025-02-01T06:59:17Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,91,1627.316
v1.30.9-eks-8cce635,2025-02-01T06:59:19Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,91,1627.316
v1.30.9-eks-8cce635,2025-02-01T06:59:21Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,91,1627.316
v1.30.9-eks-8cce635,2025-02-01T06:59:23Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,91,1627.316
v1.30.9-eks-8cce635,2025-02-01T06:59:25Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:27Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:29Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:31Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:33Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:35Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:37Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:39Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,1996,2363.684
v1.30.9-eks-8cce635,2025-02-01T06:59:41Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,1996,2363.684
v1.30.9-eks-8cce635,2025-02-01T06:59:43Z,file-operations,Set up job,ip-10-0-24-210.us-west-2.compute.internal,1996,2363.684
